,Title,Link,Published
0,S&P Dow Jones Indices Reports U.S. Common Indicated Dividend Payments Increased $9.7 Billion During Q1 2023; 12-Month Gain was $59.7 Billion,https://www.spglobal.com/spdji/en#,"Tue, 04 Apr 2023 10:00:00 EDT"
1,"S&P 500 Q4 2022 Buybacks Tick up, As 2022 Sets A Record",https://www.spglobal.com/spdji/en#,"Tue, 21 Mar 2023 10:00:00 EDT"
2,S&P CORELOGIC CASE-SHILLER INDEX DECLINE CONTINUED IN DECEMBER,https://www.spglobal.com/spdji/en#,"Tue, 28 Feb 2023 09:00:00 EST"
3,S&P/Experian Consumer Credit Default Indices Show Third Consecutive Increase in Composite Rate for January 2023,https://www.spglobal.com/spdji/en#,"Tue, 21 Feb 2023 09:00:00 EST"
4,S&P CoreLogic Case-Shiller Index Continued To Decline in November,https://www.spglobal.com/spdji/en#,"Tue, 31 Jan 2023 09:49:00 EST"
5,S&P CoreLogic Case-Shiller Index Continued To Decline In October,https://www.spglobal.com/spdji/en#,"Tue, 27 Dec 2022 09:00:00 EST"
6,S&P 500 Buybacks Decline 4.0% but Energy Buybacks increase 64.5%,https://www.spglobal.com/spdji/en#,"Mon, 19 Dec 2022 09:00:00 EST"
7,S&P CoreLogic Case-Shiller Index Continued To Decline In September,https://www.spglobal.com/spdji/en#,"Tue, 29 Nov 2022 09:00:00 EST"
8,2021 Annual Survey of Indexed Assets,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/spdji-indexed-asset-survey-2021.pdf,"Wed, 14 Sep 2022 15:45:00 EDT"
9,S&P Dow Jones Indices Completes Its Annual Review of Adherence with IOSCO Principles for Financial Benchmarks (2022),https://www.spglobal.com/spdji/en#,"Tue, 30 Aug 2022 10:30:00 EDT"
10,S&P CoreLogic Case-Shiller Index Reports Annual Home Price Gain of 20.4%,https://www.spglobal.com/spdji/en#,"Tue, 28 Jun 2022 09:00:00 EDT"
11,S&P 500 Buybacks Set Quarterly and 12-Month Records - Again,https://www.spglobal.com/spdji/en#,"Thu, 16 Jun 2022 09:00:00 EDT"
12,S&P Dow Jones Indices and ASX Launch S&P/ASX Agribusiness Index to Track Australia’s Agribusiness Sector,https://www.spglobal.com/spdji/en#,"Mon, 30 May 2022 15:00:00 EDT"
13,S&P/Experian Consumer Credit Default Indices Show Fourth Straight Increase in Composite Rate in March 2022,https://www.spglobal.com/spdji/en#,"Tue, 19 Apr 2022 09:00:00 EDT"
14,S&P Dow Jones Indices Reports U.S. Common Indicated Dividend Payments Increased $18.2 Billion in Q1 2022; 12-Month Gain was $70.1 Billion,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/20220404-dividends-q1-2022-pr.pdf,"Mon, 04 Apr 2022 10:00:00 EDT"
15,日本取引所グループと S&P ダウ・ジョーンズ・イン デックス、S&P/JPX 500 ESG スコア・ティルト指数 シリーズを開発,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/20220328-sp-jpx-500-esg-score-tilted-launch-jp.pdf,"Mon, 28 Mar 2022 09:00:00 EDT"
16,Japan Exchange Group and S&P Dow Jones Indices Launch S&P/JPX 500 ESG Score Tilted Index Series,https://www.spglobal.com/spdji/en#,"Mon, 28 Mar 2022 09:00:00 EDT"
17,"S&P 500 Members Continue to Increase Job Listings in  2022 Lead by Utility, Energy, and Financial Companies",https://www.spglobal.com/spdji/en#,"Thu, 03 Mar 2022 15:15:00 EST"
18,S&P グローバル、IHS マークイットとの合併を完了 将来の市場を支えるグローバルリーダーが誕生,https://www.spglobal.com/spdji/en#,"Tue, 01 Mar 2022 22:25:00 EST"
19,Job Listings at S&P 500 Companies up 1.8% in January 2022 According to S&P 500 LinkUp Jobs Index,https://www.spglobal.com/spdji/en#,"Thu, 03 Feb 2022 08:30:00 EST"
20,S&P Dow Jones Indices and the Santiago Exchange Launch the S&P/CLX Ingenius Index Bringing Global Innovation to the Chilean Markets,https://www.spglobal.com/spdji/en#,"Tue, 25 Jan 2022 17:15:00 EST"
21,"S&P Dow Jones Indices y la Bolsa de Comercio de Santiago lanzan el S&P/CLX Ingenius Index, trayendo la innovación global a los mercados de Chile",https://www.spglobal.com/spdji/en#,"Tue, 25 Jan 2022 17:15:00 EST"
22,S&P Dow Jones Indices Reports U.S. Indicated Dividend Payments Increased $18.0 Billion in Q4 2021and a Record $69.8 Billion in 2021,https://www.spglobal.com/spdji/en#,"Tue, 04 Jan 2022 10:30:00 EST"
23,S&P 500 Buybacks Set A Record High,https://www.spglobal.com/spdji/en#,"Tue, 21 Dec 2021 09:15:00 EST"
24,Job Listings at S&P 500 Companies up 55% in 2021  According to S&P 500 LinkUp Jobs Index,https://www.spglobal.com/spdji/en#,"Thu, 04 Nov 2021 10:00:00 EDT"
25,"S&P Dow Jones Indices Reports U.S. Indicated  Dividend Payments Increased $20.9 Billion in Q3 2021, Best Gain Since Q1 2012",https://www.spglobal.com/spdji/en#,"Tue, 05 Oct 2021 10:00:00 EDT"
26,Q2 2021 S&P 500 Buybacks Approach Record Highs,https://www.spglobal.com/spdji/en#,"Thu, 23 Sep 2021 11:30:00 EDT"
27,日本オフィス代表交代のお知らせ,https://www.spglobal.com/spdji/en#,"Fri, 17 Sep 2021 22:32:00 EDT"
28,S&P Dow Jones Indices Completes Its Annual Review of Adherence with IOSCO Principles for Financial Benchmarks,https://www.spglobal.com/spdji/en#,"Thu, 16 Sep 2021 09:00:00 EDT"
